Ā.	= Ātmanepada.
a.	= adjective.
ab.	= ablative.
abs.	= absolute.
abst.	= abstract.
ac.	= accusative.
act.	= active.
ad.	= adverb, -ial, -ially.
aor.	= aorist.
app.	= apposition.
ass.	= asseverative.
athg.	= anything.
AV.	= Atharva-veda.
B.	= Buddhistic term.
bg., beg.	= beginning.
Br.	= Brāhmaṇa.
C.	= Classical (post-Vedic) Sanskrit.
cj.	= conjunction.
col., coll.	= collective, -ly.
comm.	= commentator.
conj.	= conjecture.
cor.	= correlative.
cp.	= compare.
cpd.	= compound.
cpv.	= comparative.
crt.	= certain.
cs.	= causal.
d.	= dative.
dbl.	= double.
den.	= denominative.
der.	= derivative.
des.	= desiderative.
dim.	= diminutive.
dr.	= dramatic term.
du.	= dual.
E.	= Epic.
e. g.	= for example.
emp.	= emphatic.
enc., encl.	= enclitic.
Eng.	= English.
ep.	= epithet.
eq.	= equivalent.
esp.	= especially.
exc.	= except, exceptionally.
excl.	= exclamation.
exp.	= explanation.
f.	= feminine; also = for.
ff.	= and the following.
fig.	= figurative, -ly.
fp.	= future participle passive.
fr.	= from.
ft.	= future.
g.	= genitive.
gd.	= gerund (indeclinable participle).
Gk.	= Greek.
gnly.	= generally.
gr.	= grammatical term.
hvg.	= having.
id.	= the same.
i. e.	= that is.
ij.	= interjection.
imps.	= impersonal.
impv.	= imperative.
in.	= instrumental.
incor., incorr.	= incorrect.
ind.	= indicative.
indc., indec.	= indeclinable.
indf.	= indefinite.
inf.	= infinitive.
int.	= intransitive.
intr.	= interrogative.
intv.	= intensive (frequentative).
ir.	= irregular.
K.	= king.
Lat.	= Latin.
lc.	= locative.
leg.	= legal term.
lit.	= literally.
m.	= masculine.
met.	= metronymic.
metr.	= metrical (due to exigencies of metre).
mg.	= meaning.
mtn.	= mountain.
N.	= name; when alone = name of a man or of a woman.
ɴ.	= noun.
n.	= neuter.
neg.	= negative.
nm.	= nominative.
nr., num.	= numeral.
obj.	= object.
onom.	= onomatopœic.
opp.	= opposite.
opt.	= optative.
or., orig.	= originally.
ord.	= ordinary.
P.	= Parasmaipada.
𝑃.	= Purāṇa.
pat.	= patronymic.
pcl.	= particle.
perh.	= perhaps.
pf.	= perfect.
ph., phil.	= philosophical term.
pl.	= plural.
pn., prn.	= pronoun.
pos., poss.	= possessive.
pot.	= potential.
pp.	= perfect passive participle.
Pr.	= Prākrit (Sanskrit equivalent of Prākrit word), Prākritic.
pr.	= present.
pred.	= predicate, predicative, -ly.
prn.	= pronoun, pronominal.
prob.	= probably.
prop.	= properly.
prp.	= preposition.
prs.	= person.
ps.	= passive.
pt.	= participle.
px.	= prefix.
q. v.	= which see.
R.	= river.
red.	= reduplicated, reduplication. 
rel., rl.	= relative.
rep., rp.	= repeated.
rf.	= reflexive.
rh.	= rhetorical term.
rit.	= ritual term.
RV.	= Rig-veda.
S.	= Sūtra.
s., sg.	= singular.
ŚB.	= Śatapatha-Brāhmaṇa.
sb.	= substantive.
sc.	= scilicet, that is to say, supply.
sp.	= specifically.
spv.	= superlative.
st.	= stem.
sthg.	= something.
str.	= strong.
subj.	= subjunctive.
SV.	= Sāma-veda.
s. v.	= sub voce.
sx.	= suffix.
T.	= title.
t.	= term.
TBr.	= Taittirīya-Brāhmaṇa.
tr.	= transitive.
TS.	= Taittirīya-Saṃhitā.
U.	= Upaniṣad.
V.	= Veda, Vedic.
v.	= vide, see.
vb.	= verb.
vbl.	= verbal.
vc.	= vocative.
v. r.	= various reading.
VS.	= Vājasaneyi-Saṃhitā.
w.	= with.
wk.	= weak.
YV.	= Yajur-veda.
=	= equals, is the equivalent of.
—°	= at the end of a compound.
°—	= at the beginning of a compound (the degree representing the word in question).
+	= with; also.
±	= with or without.
&	= and.
&c., etc.	= et cetera, and so forth.
√	= root.
